Handle,Start,End
stevedaines,11/1/18,Present
chuckgrassley,11/1/18,Present
markwarner,11/1/18,Present
jiminhofe,11/1/18,Present
johnboozman,11/1/18,Present
repcasten,11/1/18,Present
repchiproy,11/1/18,Present
ilhan,11/1/18,Present
repkatieporter,11/1/18,Present
senhawleypress,11/1/18,Present
repdmp,11/1/18,Present
repmalinowski,11/1/18,Present
repdancrenshaw,11/1/18,Present
repdebhaaland,11/1/18,Present
reppressley,11/1/18,Present
repunderwood,11/1/18,Present
repdelgado,11/1/18,Present
repcunningham,11/1/18,Present
reprashida,11/1/18,Present
repaoc,11/1/18,Present
repspanberger,11/1/18,Present
repjoeneguse,11/1/18,Present
repmaxrose,11/1/18,Present
rephaleystevens,11/1/18,Present
repescobar,11/1/18,Present
repmikelevin,11/1/18,Present
repkatiehill,11/1/18,Present
repchrispappas,11/1/18,Present
repmgs,11/1/18,Present
reptimburchett,11/1/18,Present
repwexton,11/1/18,Present
senbillcassidy,11/1/18,Present
repdlesko,11/1/18,Present
sentinasmith,11/1/18,Present
gillibrandny,11/1/18,Present
repjenniffer,11/1/18,Present
repmattgaetz,11/1/18,Present
repjayapal,11/1/18,Present
reptedlieu,11/1/18,Present
reprubengallego,11/1/18,Present
sensasse,11/1/18,Present
repstefanik,11/1/18,Present
sendavidperdue,11/1/18,Present
senjoniernst,11/1/18,Present
repjimmygomez,11/1/18,Present
repbyrne,11/1/18,Present
repjasonsmith,11/1/18,Present
usreplong,11/1/18,Present
repmarkpocan,11/1/18,Present
repscottpeters,11/1/18,Present
repcheri,11/1/18,Present
senatorsinema,11/1/18,Present
sentedcruz,11/1/18,Present
rephuffman,11/1/18,Present
tulsipress,11/1/18,Present
repgracemeng,11/1/18,Present
sentomcotton,11/1/18,Present
repswalwell,11/1/18,Present
repdevinnunes,11/1/18,Present
jaredhuffman,11/1/18,Present
repmaloney,11/1/18,Present
senatordurbin,11/1/18,Present
repgosar,11/1/18,Present
repseanduffy,11/1/18,Present
repteddeutch,11/1/18,Present
senjeffmerkley,11/1/18,Present
repspeier,11/1/18,Present
repbenraylujan,11/1/18,Present
reptimryan,11/1/18,Present
rogermarshallmd,11/1/18,Present
aoc,11/1/18,Present
devinnunes,11/1/18,Present
dancrenshawtx,11/1/18,Present
malinowski,11/1/18,Present
timburchett,11/1/18,Present
laurenunderwood,11/1/18,Present
rashidatlaib,11/1/18,Present
sengillibrand,11/1/18,Present
mikelevinca,11/1/18,Present
hawleymo,11/1/18,Present
maxrose4ny,11/1/18,Present
joecunninghamsc,11/1/18,Present
katieporteroc,11/1/18,Present
delgadoforny19,11/1/18,Present
seancasten,11/1/18,Present
haleylive,11/1/18,Present
chrispappasnh,11/1/18,Present
